iter	RMSE
203	27925.29654
204	27891.06464
205	27849.23164
206	27780.7292
207	27749.81762
208	27679.79045
209	27635.28727
210	27614.99067
211	27591.43687
212	27577.39592
213	27537.82925
214	27522.13086
215	27443.12379
216	27381.47082
217	27311.15243
218	27265.84053
219	27225.25582
220	27164.50192
221	27141.5629
222	27127.37195
223	27100.57563
224	27078.30771
225	27026.20397
226	26999.07822
227	26942.91472
228	26820.76339
229	26734.33078
230	26675.23492
231	26604.55594
232	26535.93067
233	26523.61553
234	26500.11437
235	26485.9834
236	26406.96283
237	26371.6278
238	26300.06296
239	26287.10603
240	26240.5742
241	26157.03379
242	26143.73042
243	26111.92166
244	26083.36599
245	26054.92047
246	26041.75898
247	26017.31468
248	26005.92945
249	25941.30922
250	25927.31869
251	25906.70487
252	25893.79516
253	25862.04665
254	25849.56551
255	25837.78879
256	25810.80537
257	25720.83413
258	25711.15889
259	25674.44772
260	25654.24356
261	25643.57198
262	25634.88737
263	25570.99168
264	25503.64386
265	25422.55741
266	25325.17183
267	25230.26131
268	25182.93069
269	25168.53114
270	25108.49685
271	25042.57393
272	24957.41265
273	24909.55861
274	24845.4983
275	24821.28982
276	24802.5031
277	24788.58251
278	24736.50382
279	24728.67856
280	24649.9077
281	24609.22839
282	24511.55464
283	24427.70371
284	24419.13528
285	24377.79713
286	24369.07264
287	24348.70539
288	24305.5562
289	24271.42852
290	24217.13261
291	24115.63969
292	24091.74433
293	24014.40536
294	23972.71604
295	23925.47076
296	23872.18576
297	23862.33896
298	23831.48355
299	23780.67195
300	23733.44362
301	23697.09631
302	23685.52712
303	23601.06776
304	23557.64437
305	23444.37205
306	23389.57057
307	23381.30391
308	23320.06957
309	23309.42734
310	23209.31187
311	23159.35729
312	23066.2828
313	22999.83128
314	22945.59317
315	22886.74001
316	22817.40338
317	22736.34995
318	22689.86936
319	22682.87845
320	22637.89325
321	22559.3544
322	22498.87012
323	22464.58691
324	22395.02457
325	22388.4003
326	22367.38293
327	22316.00437
328	22300.71949
329	22292.29233
330	22224.40095
331	22182.95139
332	22151.23517
333	22090.62626
334	22049.15187
335	21990.98584
336	21934.35164
337	21873.73187
338	21825.47182
339	21763.55684
340	21728.86867
341	21661.65067
342	21606.96663
343	21571.49238
344	21533.02276
345	21489.18013
346	21424.34337
347	21417.60914
348	21403.77619
349	21369.1651
350	21315.21406
351	21256.45282
352	21250.2468
353	21222.81138
354	21208.03717
355	21152.36652
356	21086.78955
357	21057.84432
358	21013.59396
359	20956.26262
360	20950.82538
361	20881.70051
362	20867.35551
363	20824.61967
364	20791.66245
365	20741.04495
366	20733.94813
367	20673.62806
368	20632.35764
369	20583.79335
370	20556.37734
371	20484.40601
372	20437.15576
373	20391.62413
374	20384.82577
375	20378.09455
376	20331.6294
377	20273.08028
378	20246.43069
379	20240.30271
380	20192.7842
381	20158.60668
382	20152.25876
383	20139.50589
384	20109.97901
385	20032.83314
386	19987.57461
387	19937.92414
388	19901.54299
389	19865.08917
390	19858.94734
391	19797.11278
392	19744.80615
393	19738.77535
394	19731.36999
395	19686.7011
396	19627.2748
397	19621.41674
398	19564.79547
399	19551.03031
400	19495.94401
401	19444.67708
402	19411.56983
403	19378.85735
404	19341.37276
405	19317.17936
406	19308.71649
407	19265.84674
408	19242.12908
409	19227.64386
410	19150.33559
411	19111.55315
412	19106.81041
413	19101.46835
414	19061.5675
415	19008.68117
416	18939.36953
417	18885.02948
418	18877.99688
419	18862.52552
420	18808.56886
421	18771.71959
422	18700.76593
423	18671.42293
424	18616.21582
425	18572.7937
426	18565.38964
427	18519.25505
428	18469.62024
429	18418.13585
430	18413.15273
431	18403.90827
432	18366.17245
433	18328.10177
434	18281.68867
435	18277.21862
436	18231.74784
437	18181.17843
438	18104.99204
439	18077.45639
440	18042.23992
441	18036.22619
442	17992.74659
443	17981.82543
444	17927.81133
445	17889.75542
446	17878.9901
447	17868.00116
448	17836.28966
449	17820.85065
450	17794.08431
451	17763.92958
452	17758.15699
453	17717.3557
454	17679.38906
455	17644.57573
456	17622.44408
457	17576.83642
458	17546.81535
459	17532.93969
460	17492.30951
461	17442.86168
462	17418.17475
463	17409.597
464	17363.583
465	17338.28439
466	17310.13646
467	17273.08579
468	17241.67602
469	17208.005
470	17183.18993
471	17166.39554
472	17122.50188
473	17085.19135
474	17081.20369
475	17064.63626
476	17037.84801
477	17006.14264
478	16970.43559
479	16947.20868
480	16899.64415
481	16891.06701
482	16852.84764
483	16815.66044
484	16790.28963
485	16762.12621
486	16719.33948
487	16708.00452
488	16678.0037
489	16645.63006
490	16637.03071
491	16579.71889
492	16550.29519
493	16519.34206
494	16488.49696
495	16461.07663
496	16447.42241
497	16408.00896
498	16349.21042
499	16319.00985
500	16299.57468
501	16259.70888
502	16227.87193
503	16205.50783
504	16185.83729
505	16144.05415
506	16122.98746
507	16086.31401
508	16042.8231
509	16016.96966
510	15981.77759
511	15947.13624
512	15933.47287
513	15896.82885
514	15874.34936
515	15843.66253
516	15789.38823
517	15772.59946
518	15733.07813
519	15706.73571
520	15656.7127
521	15628.91098
522	15624.59859
523	15603.99457
524	15546.14507
525	15533.94134
526	15502.10817
527	15492.64838
528	15484.06014
529	15479.82235
530	15476.10839
531	15465.42687
532	15423.49089
533	15392.58235
534	15382.9848
535	15379.59756
536	15352.11149
537	15347.75208
538	15301.02472
539	15275.88146
540	15267.57787
541	15249.23493
542	15245.68068
543	15242.40532
544	15213.42013
545	15189.85233
546	15155.12194
547	15109.1552
548	15087.26773
549	15070.73715
550	15043.00311
551	14993.4986
552	14990.04623
553	14945.72475
554	14931.93608
555	14873.61327
556	14840.93677
557	14810.37956
558	14792.43664
559	14750.17805
560	14719.63551
561	14697.71653
562	14684.76715
563	14673.86859
564	14645.3799
565	14622.46253
566	14579.48496
567	14573.00397
568	14555.40165
569	14521.03814
570	14480.79524
571	14444.63879
572	14428.37537
573	14410.94532
574	14407.68952
575	14391.32135
576	14362.59416
577	14348.38888
578	14328.5089
579	14325.2168
580	14289.33369
581	14285.85936
582	14254.08707
583	14251.19267
584	14246.62912
585	14224.4923
586	14180.54736
587	14136.84449
588	14134.01895
589	14115.73725
590	14093.49693
591	14067.71423
592	14042.73759
593	14027.16806
594	14008.19222
595	13989.95439
596	13964.10208
597	13945.91087
598	13942.86871
599	13910.19359
600	13875.35958
601	13860.69364
602	13831.70296
603	13813.88805
604	13799.91943
605	13786.29582
606	13760.60808
607	13744.19353
608	13741.30304
609	13706.34638
610	13680.20679
611	13677.52995
612	13654.66634
613	13635.41225
614	13608.09193
615	13595.29286
616	13582.29778
617	13554.84859
618	13542.13008
619	13516.86927
620	13505.88182
621	13491.99222
622	13474.13322
623	13451.92251
624	13419.98821
625	13383.4995
626	13367.90819
627	13353.52951
628	13337.93901
629	13316.64888
630	13289.67013
631	13286.95453
632	13258.30376
633	13236.04916
634	13205.93492
635	13189.31098
636	13169.25158
637	13132.29438
638	13103.71491
639	13091.00916
640	13068.21065
641	13049.48912
642	13038.38617
643	13023.28954
644	13020.90294
645	12999.43103
646	12956.01199
647	12940.21427
648	12937.56827
649	12914.25807
650	12891.93984
651	12859.58624
652	12830.59861
653	12791.77874
654	12778.17563
655	12761.69661
656	12743.98539
657	12720.66771
658	12690.89726
659	12685.07628
660	12669.06072
661	12638.31657
662	12635.64374
663	12621.88096
664	12609.53516
665	12589.23322
666	12562.48728
667	12559.56538
668	12523.79685
669	12506.53518
670	12484.29773
671	12466.20606
672	12436.03611
673	12417.2824
674	12406.40189
675	12396.80144
676	12371.11903
677	12350.06234
678	12341.67114
679	12317.86394
680	12306.13445
681	12303.63522
682	12277.00933
683	12248.8478
684	12232.02291
685	12208.32614
686	12185.18226
687	12171.91162
688	12158.25268
689	12155.77786
690	12153.38558
691	12133.24338
692	12124.92923
693	12118.00881
694	12116.01117
695	12099.01671
696	12092.35502
697	12057.10528
698	12030.07653
699	12012.29082
700	12008.41064
701	11985.66321
702	11968.53206
703	11939.72311
704	11937.29911
705	11915.66396
706	11901.62462
707	11882.98854
708	11864.81487
709	11861.7782
710	11839.73119
711	11823.46599
712	11810.77025
713	11782.13275
714	11775.88052
715	11759.79414
716	11745.99973
717	11728.43213
718	11713.08963
719	11709.30475
720	11682.07082
721	11653.14731
722	11632.22096
723	11621.05759
724	11603.45912
725	11583.53731
726	11580.93114
727	11569.18416
728	11554.55723
729	11532.48587
730	11521.48825
731	11512.46018
732	11495.37879
733	11481.64616
734	11463.24625
735	11446.86999
736	11421.23642
737	11419.12022
738	11400.51823
739	11390.22731
740	11371.33198
741	11357.36833
742	11347.09275
743	11326.27333
744	11307.66604
745	11287.52157
746	11270.51839
747	11253.11128
748	11226.94132
749	11215.69365
750	11200.30514
751	11183.74212
752	11175.6632
753	11152.29138
754	11143.08302
755	11121.60761
756	11112.10182
757	11088.30429
758	11080.68523
759	11064.15048
760	11043.52176
761	11025.22025
762	11009.13205
763	10987.68558
764	10984.81816
765	10974.35635
766	10959.59701
767	10937.76726
768	10915.10207
769	10881.90265
770	10873.98476
771	10859.4745
772	10857.28766
773	10834.97
774	10802.44211
775	10787.73533
776	10768.5122
777	10766.34004
778	10764.19891
779	10740.45571
780	10727.31046
781	10707.67141
782	10691.75539
783	10683.37178
784	10663.92619
785	10652.5438
786	10640.73549
787	10626.92652
788	10624.84318
789	10612.71361
790	10608.79354
791	10586.16346
792	10563.25174
793	10552.69202
794	10550.81286
795	10533.9407
796	10525.49967
797	10513.90805
798	10505.93106
799	10497.30604
800	10495.02148
801	10466.48181
802	10440.85592
803	10419.35899
804	10406.4253
805	10395.41159
806	10383.95306
807	10367.50894
808	10358.66567
809	10334.69389
810	10322.1171
811	10314.05553
812	10310.05298
813	10295.99512
814	10284.10296
815	10271.56917
816	10264.30859
817	10255.02766
818	10245.83251
819	10231.2489
820	10208.11029
821	10192.68812
822	10179.70873
823	10177.9215
824	10158.86252
825	10156.67611
826	10152.23078
827	10150.22192
828	10146.008
829	10128.70359
830	10110.23096
831	10098.00057
832	10080.28866
833	10078.63922
834	10071.14046
835	10068.6698
836	10059.51463
837	10043.8178
838	10035.61233
839	10032.9233
840	10005.60472
841	9993.252955
842	9981.306569
843	9960.696929
844	9938.719958
845	9925.60031
846	9916.980158
847	9898.735542
848	9891.480037
849	9875.710351
850	9870.251007
851	9852.643839
852	9842.531391
853	9817.894679
854	9807.543804
855	9791.317848
856	9771.460494
857	9759.53943
858	9739.91406
859	9735.078125
860	9723.470889
861	9717.762953
862	9708.544582
863	9688.733206
864	9674.055635
865	9672.540507
866	9662.730928
867	9649.505446
868	9640.23026
869	9625.882348
870	9608.176922
871	9592.260454
872	9576.346209
873	9564.253257
874	9551.113764
875	9533.369755
876	9525.19233
877	9508.065586
878	9504.194901
879	9484.465917
880	9461.02546
881	9442.319752
882	9428.676531
883	9410.008851
884	9397.810701
885	9381.745329
886	9375.567091
887	9362.058961
888	9360.052553
889	9350.852205
890	9334.844669
891	9320.719746
892	9307.904249
893	9291.385427
894	9285.790833
895	9284.04805
896	9264.419736
897	9246.196249
898	9232.217676
899	9216.995157
900	9197.595078
901	9188.474273
902	9172.692794
903	9160.423941
904	9150.621652
905	9136.643264
906	9117.417311
907	9104.187956
908	9100.899878
909	9099.193666
910	9090.07902
911	9082.064704
912	9069.324216
913	9050.123443
914	9038.542164
915	9024.508409
916	9021.796813
917	9007.795724
918	9005.758156
919	8991.474536
920	8989.86891
921	8976.336103
922	8962.421497
923	8956.192057
924	8940.736508
925	8931.305642
926	8915.338448
927	8894.247608
928	8882.901327
929	8869.943105
930	8856.016779
931	8854.675488
932	8845.329001
933	8822.969513
934	8818.718628
935	8811.550773
936	8799.645131
937	8787.419318
938	8779.938301
939	8765.330427
940	8750.252911
941	8739.224974
942	8727.435972
943	8714.82435
944	8710.936758
945	8705.59271
946	8704.319684
947	8701.035226
948	8685.715859
949	8673.849789
950	8658.560924
951	8633.071973
952	8628.89188
953	8618.08343
954	8610.456233
955	8606.111898
956	8594.831476
957	8570.068658
958	8562.376756
959	8561.194962
960	8552.023105
961	8533.415008
962	8522.335362
963	8512.598624
964	8500.397081
965	8499.078827
966	8484.589709
967	8481.397696
968	8469.032913
969	8443.549619
970	8439.277706
971	8428.38193
972	8417.953794
973	8406.818673
974	8399.555422
975	8382.951559
976	8372.462251
977	8371.353952
978	8357.463937
979	8342.527585
980	8330.173412
981	8319.403424
982	8309.901781
983	8299.715367
984	8284.184532
985	8275.884392
986	8274.948026
987	8258.892908
988	8248.395684
989	8243.726468
990	8229.333107
991	8217.78587
992	8208.119099
993	8204.866273
994	8198.43112
995	8190.991208
996	8183.977067
997	8180.94843
998	8167.470633
999	8158.28248
